date, feels
20150101,0
20150102,0
20150103,0
20150104,0
20150105,0
20150106,0
20150107,0
20150108,0
20150110,0
20150111,93
20150112,153
20150113,138
20150114,171
20150115,136
20150116,134
20150117,153
20150118,204
20150119,275
20150120,251
20150121,191
20150122,227
20150123,229
20150124,193
20150125,179
20150126,157
20150127,176
20150128,717
20150129,184
20150201,277
20150202,230
20150203,203
20150204,187
20150205,349
20150206,236
20150207,235
20150208,327
20150210,350
20150211,226
20150212,385
20150213,224
20150214,481
20150215,678
20150216,579
20150217,249
20150218,137
20150219,169
20150220,142
20150221,239
20150222,262
20150223,391
20150224,445
20150225,254
20150226,144
20150227,185
20150301,231
20150302,161
20150303,148
20150304,189
20150305,201
20150306,161
20150307,192
20150308,157
20150310,183
20150311,130
20150312,130
20150313,168
20150314,125
20150315,191
20150316,183
20150317,127
20150318,139
20150319,129
20150320,142
20150321,138
20150322,302
20150323,319
20150324,278
20150325,224
20150326,169
20150327,188
20150328,140
20150329,134
20150401,196
20150402,167
20150403,142
20150404,177
20150405,219
20150406,160
20150407,200
20150408,164
20150410,245
20150411,154
20150412,155
20150413,191
20150414,186
20150415,279
20150416,211
20150417,203
20150418,219
20150419,222
20150420,124
20150421,246
20150422,193
20150423,174
20150424,207
20150425,315
20150426,193
20150427,263
20150428,292
20150429,252
20150501,226
20150502,325
20150503,188
20150504,420
20150505,245
20150506,228
20150507,203
20150508,199
20150510,225
20150511,217
20150512,336
20150513,392
20150514,500
20150515,534
20150516,627
20150517,435
20150518,864
20150519,391
20150520,299
20150521,302
20150522,282
20150523,184
20150524,294
20150525,306
20150526,352
20150527,294
20150528,417
20150529,322
20150601,253
20150602,455
20150603,279
20150604,235
20150605,391
20150606,573
20150607,767
20150608,623
20150610,445
20150611,429
20150612,820
20150613,503
20150614,386
20150615,331
20150616,368
20150617,526
20150618,298
20150619,249
20150620,539
20150621,332
20150622,296
20150623,333
20150624,271
20150625,484
20150626,358
20150627,406
20150628,273
20150629,219
20150701,228
20150702,298
20150703,264
20150704,276
20150705,296
20150706,312
20150707,437
20150708,663
20150710,367
20150711,300
20150712,238
20150713,290
20150714,277
20150715,205
20150716,300
20150717,299
20150718,427
20150719,312
20150720,370
20150721,293
20150722,431
20150723,463
20150724,775
20150725,610
20150726,571
20150727,366
20150728,487
20150729,403
20150801,504
20150802,437
20150803,541
20150804,1146
20150805,529
20150806,802
20150807,629
20150808,531
20150810,474
20150811,311
20150812,461
20150813,497
20150814,591
20150815,562
20150816,592
20150817,632
20150818,906
20150819,318
20150820,518
20150821,346
20150822,429
20150823,502
20150824,356
20150825,576
20150826,380
20150827,364
20150828,611
20150829,902
20150901,183
20150902,397
20150903,295
20150904,784
20150905,586
20150906,614
20150907,403
20150908,470
20150910,282
20150911,466
20150912,268
20150913,473
20150914,417
20150915,396
20150916,285
20150917,591
20150918,357
20150919,543
20150920,477
20150921,375
20150922,387
20150923,450
20150924,303
20150925,465
20150926,2316
20150927,1135
20150928,776
20150929,528
20151001,347
20151002,362
20151003,376
20151004,517
20151005,375
20151006,448
20151007,405
20151008,397
20151010,674
20151011,499
20151012,462
20151013,345
20151014,372
20151015,638
20151016,622
20151017,115
20151018,0
20151019,0
20151020,93
20151021,1128
